SN,SubstanceCategory,Substance,NewSubstanceUsed,N,New Category,Subcategory,Active substance,Active substance category,Chemical/formulation,Commercial Product
134,"Immunostimulant, Antibiotic",Nutrigel,Nutrigel,1,Nutritional Supplement,,Vitamin D3,Antioxidants,Formulation,Yes
64,Immunostimulant,Blue Mix,Blue Mix,3,Immunostimulant,,Vitamin E,Vitamins,Formulation,Yes
122,Immunostimulant,Exorich,Exorich,15,Nutritional Supplement,,Vitamin E,Vitamins,Formulation,Yes
130,"Immunostimulant, Feed additive",Mutagen,Mutagen,118,Nutritional Supplement,,Vitamin E,Vitamins,Formulation,Yes
133,Immunostimulant,Nutri Gel,Nutri Gel,1,Nutritional Supplement,,Vitamin E,Vitamins,Formulation,Yes
64,Immunostimulant,Blue Mix,Blue Mix,3,Immunostimulant,,Vitamin K3,Vitamins,Formulation,Yes
120,Immunostimulant,Eon Fish Grower,Eon Fish Grower,3,Nutritional Supplement,,Vitamin K3,Vitamins,Formulation,Yes
122,Immunostimulant,Exorich,Exorich,15,Nutritional Supplement,,Vitamin K3,Vitamins,Formulation,Yes
133,Immunostimulant,Nutri Gel,Nutri Gel,1,Nutritional Supplement,,Vitamin K3,Vitamins,Formulation,Yes
125,"Probiotic, Immunostimulant",Gut Plus,Gut Plus,6,Nutritional Supplement,,Vitamins,Vitamins,Formulation,Yes
157,Unknown,Viva Growth,Viva Growth,3,Nutritional Supplement,,Vitamins,Vitamins,Formulation,Yes
163,Probiotic,Zymetin,Zymetin,113,Probiotic,,Vitamins,Vitamins,Formulation,Yes
130,"Immunostimulant, Feed additive",Mutagen,Mutagen,118,Nutritional Supplement,,Wheat flour,Feed Supplement,Formulation,Yes
58,Toxic gas reducer,Bio clean,Bio clean,24,Water quality treatment,,Yucca plant extract,Coagulant,Formulation,Yes
52,Water and sediment,Zeolite,Zeolite,90,Water quality treatment,,Zeolite,Coagulant,Chemical,No
52,Water and sediment,Zeolite,Zeolite,90,Water quality treatment,,Zeolite,Coagulant,Chemical,No
63,Immunostimulant,Biozyme,Biozyme,4,Immunostimulant,,Zinc,Mineral elements,Formulation,Yes
64,Immunostimulant,Blue Mix,Blue Mix,3,Immunostimulant,,Zinc,Mineral elements,Formulation,Yes
112,Immunostimulant,Chelamin,Chelamin,1,Nutritional Supplement,,Zinc,Mineral elements,Formulation,Yes
117,Immunostimulant,DCP Plus,DCP Plus,1,Nutritional Supplement,,Zinc,Mineral elements,Formulation,Yes
122,Immunostimulant,Exorich,Exorich,15,Nutritional Supplement,,Zinc,Mineral elements,Formulation,Yes
150,Mineral elements,Shell min,Shell min,2,Nutritional Supplement,,Zinc chloride,Inorganic compound,Formulation,Yes
54,Water and sediment,Zinc Oxide,Zinc Oxide,1,Water quality treatment,,Zinc oxide,Antimicrobial,Chemical,No
54,Water and sediment,Zinc Oxide,Zinc Oxide,1,Water quality treatment,,Zinc oxide,Antimicrobial,Chemical,No
124,Unclear,Grow Zinc,Grow Zinc,2,Nutritional Supplement,,Zinc sulphate,Inorganic compound,Formulation,Yes
